cancer_type,table_key,table_name_cn,tag_id,tag_name,field_key,annotation_scope,created_at,description,description_source
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,634,关节痛分级,ae_arthralgia_grade,structured,2026-05-08,记录关节痛/关节疼痛作为不良反应时的严重程度分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,610,呕吐分级,ae_vomiting_grade,structured,2026-05-08,呕吐分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,653,失眠分级,ae_insomnia_grade,structured,2026-05-08,失眠分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,609,恶心分级,ae_nausea_grade,structured,2026-05-08,恶心分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,2564,既往恶性肿瘤史,f_1c0c4f54,structured,2026-06-09,患者既往恶性肿瘤病史,generated
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,752,甲状腺功能减退判定,ae_hypothyroid_flag,structured,2026-05-08,是否判定为甲状腺功能减退,generated
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,604,白细胞减少分级,ae_leukopenia_grade,structured,2026-05-08,记录白细胞减少/白细胞计数降低对应的不良反应严重程度分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,628,皮疹分级,ae_rash_grade,structured,2026-05-08,皮疹分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,2554,精神病史,f_6ee9e496,structured,2026-06-09,患者既往精神疾病病史,generated
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,611,腹泻分级,ae_diarrhea_grade,structured,2026-05-08,腹泻分级,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,608,血小板减少分级,ae_thrombo_grade,structured,2026-05-08,"记录血小板减少/血小板计数降低对应的不良反应严重程度分级，优先保留原文等级表述。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,658,补充说明,ae_notes,structured,2026-05-08,不良反应补充说明；文本描述,original
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,607,贫血分级 (Hb),ae_anemia_grade,structured,2026-05-08,"记录贫血或血红蛋白降低对应的不良反应严重程度分级，优先保留原文等级表述。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,2553,间质性肺病,f_cdded201,structured,2026-06-09,是否发生间质性肺病情况,generated
乳腺癌,ods_br_cancer_adverse_events,并发症与不良反应明细表,637,骨质疏松判定,ae_osteo_flag,structured,2026-05-08,是否判定存在骨质疏松,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2559,CDK4/6 抑制剂暴露,cdk4_6,structured,2026-06-09,是否使用过CDK4/6抑制剂,generated
